TITLE,Computer Science,Physics,Mathematics,Statistics
Time-domain THz spectroscopy reveals coupled protein-hydration dielectric response in solutions of native and fibrils of human lyso-zyme,0,1,0,0
Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime,0,1,0,0
Deep Multiple Instance Feature Learning via Variational Autoencoder,0,0,0,1
Regularity of envelopes in Kähler classes,0,0,1,0
$S^1$-equivariant Index theorems and Morse inequalities on complex manifolds with boundary,0,0,1,0
Characterizations of quasitrivial symmetric nondecreasing associative operations,0,0,1,0
The nature of the tensor order in Cd2Re2O7,0,1,0,0
Pattern-forming fronts in a Swift-Hohenberg equation with directional quenching - parallel and oblique stripes,0,1,0,0
Live Service Migration in Mobile Edge Clouds,1,0,0,0
Induced density correlations in a sonic black hole condensate,0,1,0,0
Genus growth in $\mathbb{Z}_p$-towers of function fields,0,0,1,0
Topological Phases emerging from Spin-Orbital Physics,0,1,0,0
"Accurate and Diverse Sampling of Sequences based on a ""Best of Many"" Sample Objective",0,0,0,1
Exploring RNN-Transducer for Chinese Speech Recognition,1,0,0,0
A Debt-Aware Learning Approach for Resource Adaptations in Cloud Elasticity Management,1,0,0,0
Semi-simplicial spaces,0,0,1,0
"Constraints, Lazy Constraints, or Propagators in ASP Solving: An Empirical Analysis",1,0,0,0
A Unified Approach to Nonlinear Transformation Materials,0,1,0,0
Stationary crack propagation in a two-dimensional visco-elastic network model,0,1,0,0
A note on the fundamental group of Kodaira fibrations,0,0,1,0
Photo-Chemically Directed Self-Assembly of Carbon Nanotubes on Surfaces,0,1,0,0
Split-and-augmented Gibbs sampler - Application to large-scale inference problems,0,0,0,1
Does a generalized Chaplygin gas correctly describe the cosmological dark sector?,0,1,0,0
The effects of subdiffusion on the NTA size measurements of extracellular vesicles in biological samples,0,1,0,0
Primordial perturbations from inflation with a hyperbolic field-space,0,1,0,0
Role of Vanadyl Oxygen in Understanding Metallic Behavior of V2O5(001) Nanorods,0,1,0,0
Almost euclidean Isoperimetric Inequalities in spaces satisfying local Ricci curvature lower bounds,0,0,1,0
Exponential Sums and Riesz energies,0,0,1,0
One dimensionalization in the spin-1 Heisenberg model on the anisotropic triangular lattice,0,1,0,0
Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings,0,0,1,0
Quasi two-dimensional Fermi surface topography of the delafossite PdRhO$_2$,0,1,0,0
Interlayer coupling and gate-tunable excitons in transition metal dichalcogenide heterostructures,0,1,0,0
Enumeration of singular varieties with tangency conditions,0,0,1,0
In-home and remote use of robotic body surrogates by people with profound motor deficits,1,0,0,0
ClusterNet: Detecting Small Objects in Large Scenes by Exploiting Spatio-Temporal Information,1,0,0,0
Fermi-edge singularity and the functional renormalization group,0,1,0,0
The quasi-Assouad dimension for stochastically self-similar sets,0,0,1,0
Influence of Spin Orbit Coupling in the Iron-Based Superconductors,0,1,0,0
Effect of Meltdown and Spectre Patches on the Performance of HPC Applications,1,0,0,0
Fault Tolerant Consensus Agreement Algorithm,1,0,0,0
Once in a blue moon: detection of 'bluing' during debris transits in the white dwarf WD1145+017,0,1,0,0
"Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting",0,1,0,0
Stacking-based Deep Neural Network: Deep Analytic Network on Convolutional Spectral Histogram Features,1,0,0,0
Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface,0,1,0,0
Emittance preservation of an electron beam in a loaded quasi-linear plasma wakefield,0,1,0,0
Detection of Nonlinearly Distorted OFDM Signals via Generalized Approximate Message Passing,1,0,0,0
Nonlinear fractal meaning of the Hubble constant,0,1,0,0
SEA: String Executability Analysis by Abstract Interpretation,1,0,0,0
On the trade-off between labels and weights in quantitative bisimulation,1,0,0,0
Poynting's theorem in magnetic turbulence,0,1,0,0
Polar factorization of conformal and projective maps of the sphere in the sense of optimal mass transport,0,0,1,0
Representing numbers as the sum of squares and powers in the ring $\mathbb{Z}_n$,0,0,1,0
Spatial Regression and the Bayesian Filter,0,0,0,1
Behaviour of electron content in the ionospheric D-region during solar X-ray flares,0,1,0,0
Zero-point spin-fluctuations of single adatoms,0,1,0,0
Evaluating openEHR for storing computable representations of electronic health record phenotyping algorithms,1,0,0,0
Optimizing Mission Critical Data Dissemination in Massive IoT Networks,1,0,0,0
Interference of two co-directional exclusion processes in the presence of a static bottleneck: a biologically motivated model,0,1,0,0
Gaussian fluctuations of Jack-deformed random Young diagrams,0,0,1,0
Revisiting (logarithmic) scaling relations using renormalization group,0,1,0,0
Evolution of the Kondo lattice electronic structure above the transport coherence temperature,0,1,0,0
On A Conjecture Regarding Permutations Which Destroy Arithmetic Progressions,0,0,1,0
Inverse monoids and immersions of cell complexes,0,0,1,0
A Berkeley View of Systems Challenges for AI,1,0,0,0
"Equivariant infinite loop space theory, I. The space level story",0,0,1,0
Arithmetic purity of strong approximation for homogeneous spaces,0,0,1,0
Flatness results for nonlocal minimal cones and subgraphs,0,0,1,0
Effective Asymptotic Formulae for Multilinear Averages of Multiplicative Functions,0,0,1,0
On the apparent permeability of porous media in rarefied gas flows,0,1,0,0
Small subgraphs and their extensions in a random distance graph,0,0,1,0
Increasing the Reusability of Enforcers with Lifecycle Events,1,0,0,0
A Fast Interior Point Method for Atomic Norm Soft Thresholding,1,0,0,0
Economically Efficient Combined Plant and Controller Design Using Batch Bayesian Optimization: Mathematical Framework and Airborne Wind Energy Case Study,1,0,0,0
The 10 phases of spin chains with two Ising symmetries,0,1,0,0
Generalized subspace subcodes with application in cryptology,1,0,0,0
Lagrangian fibers of Gelfand-Cetlin systems,0,0,1,0
Tensor Robust Principal Component Analysis with A New Tensor Nuclear Norm,0,0,0,1
Resolving the age bimodality of galaxy stellar populations on kpc scales,0,1,0,0
Hidden long evolutionary memory in a model biochemical network,0,1,0,0
On Study of the Reliable Fully Convolutional Networks with Tree Arranged Outputs (TAO-FCN) for Handwritten String Recognition,1,0,0,0
Marcel Riesz on Nörlund Means,0,0,1,0
Mathematics of Isogeny Based Cryptography,1,0,0,0
From 4G to 5G: Self-organized Network Management meets Machine Learning,1,0,0,0
Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation,1,0,0,0
Poisoning Attacks to Graph-Based Recommender Systems,0,0,0,1
SU-RUG at the CoNLL-SIGMORPHON 2017 shared task: Morphological Inflection with Attentional Sequence-to-Sequence Models,1,0,0,0
On the Deployment of Distributed Antennas for Wireless Power Transfer with Safety Electromagnetic Radiation Level Requirement,1,0,0,0
A simulation technique for slurries interacting with moving parts and deformable solids with applications,1,0,0,0
Dissipative hydrodynamics in superspace,0,1,0,0
The Two-fold Role of Observables in Classical and Quantum Kinematics,0,1,0,0
On the isoperimetric quotient over scalar-flat conformal classes,0,0,1,0
On the Spectrum of Random Features Maps of High Dimensional Data,0,0,0,1
Best polynomial approximation on the triangle,0,0,1,0
SecureTime: Secure Multicast Time Synchronization,1,0,0,0
Solving the multi-site and multi-orbital Dynamical Mean Field Theory using Density Matrix Renormalization,0,1,0,0
Topologically Invariant Double Dirac States in Bismuth based Perovskites: Consequence of Ambivalent Charge States and Covalent Bonding,0,1,0,0
Identitas: A Better Way To Be Meaningless,1,0,0,0
On nonlinear profile decompositions and scattering for a NLS-ODE model,0,0,1,0
Epidemic Spreading and Aging in Temporal Networks with Memory,1,0,0,0
Pr$_2$Ir$_2$O$_7$: when Luttinger semimetal meets Melko-Hertog-Gingras spin ice state,0,1,0,0
A 2-edge partial inverse problem for the Sturm-Liouville operators with singular potentials on a star-shaped graph,0,0,1,0
Jastrow form of the Ground State Wave Functions for Fractional Quantum Hall States,0,1,0,0
On a common refinement of Stark units and Gross-Stark units,0,0,1,0
An Integrated Decision and Control Theoretic Solution to Multi-Agent Co-Operative Search Problems,1,0,0,0
Chain effects of clean water: The Mills-Reincke phenomenon in early twentieth-century Japan,0,0,0,1
Learning Transferable Architectures for Scalable Image Recognition,1,0,0,0
Fast Multi-frame Stereo Scene Flow with Motion Segmentation,1,0,0,0
Pointed $p^2q$-dimensional Hopf algebras in positive characteristic,0,0,1,0
Weak Form of Stokes-Dirac Structures and Geometric Discretization of Port-Hamiltonian Systems,1,0,0,0
Clamped seismic metamaterials: Ultra-low broad frequency stop-bands,0,1,0,0
Difference analogue of second main theorems for meromorphic mapping into algebraic variety,0,0,1,0
Experimental Design of a Prescribed Burn Instrumentation,0,0,0,1
Seifert surgery on knots via Reidemeister torsion and Casson-Walker-Lescop invariant III,0,0,1,0
Sparse mean localization by information theory,0,0,0,1
A Closer Look at the Alpha Persei Coronal Conundrum,0,1,0,0
The challenge of realistic music generation: modelling raw audio at scale,0,0,0,1
Interpretations of family size distributions: The Datura example,0,1,0,0
"Intersections of $ω$ classes in $\overline{\mathcal{M}}_{g,n}$",0,0,1,0
GENFIRE: A generalized Fourier iterative reconstruction algorithm for high-resolution 3D imaging,0,1,0,0
"SPIRou Input Catalog: Activity, Rotation and Magnetic Field of Cool Dwarfs",0,1,0,0
Over Recurrence for Mixing Transformations,0,0,1,0
A Practical Approach for Successive Omniscience,1,0,0,0
Scholars on Twitter: who and how many are they?,1,0,0,0
General notions of regression depth function,0,0,0,1
Photonic topological pumping through the edges of a dynamical four-dimensional quantum Hall system,0,1,0,0
Coherence for lenses and open games,1,0,0,0
An automata group of intermediate growth and exponential activity,0,0,1,0
Tuning across the BCS-BEC crossover in the multiband superconductor Fe$_{1+y}$Se$_x$Te$_{1-x}$ : An angle-resolved photoemission study,0,1,0,0
GroupReduce: Block-Wise Low-Rank Approximation for Neural Language Model Shrinking,0,0,0,1
Morphological characterization of Ge ion implanted SiO2 matrix using multifractal technique,0,1,0,0
Preliminary corrosion studies of IN-RAFM steel with stagnant Lead Lithium at 550 C,0,1,0,0
Magnetocapillary self-assemblies: locomotion and micromanipulation along a liquid interface,0,1,0,0
Bayesian Metabolic Flux Analysis reveals intracellular flux couplings,0,0,0,1
Growing length scale accompanying the vitrification: A perspective based on non-singular density fluctuations,0,1,0,0
Many-Objective Pareto Local Search,1,0,0,0
From Natural to Artificial Camouflage: Components and Systems,1,0,0,0
On some polynomials and series of Bloch-Polya Type,0,0,1,0
"Improvement in the UAV position estimation with low-cost GPS, INS and vision-based system: Application to a quadrotor UAV",1,0,0,0
Structured low rank decomposition of multivariate Hankel matrices,0,0,1,0
Linear time-periodic dynamical systems: An H2 analysis and a model reduction framework,1,0,0,0
Deformable Generator Network: Unsupervised Disentanglement of Appearance and Geometry,0,0,0,1
Gaussian Kernel in Quantum Paradigm,1,0,0,0
Performance of Energy Harvesting Receivers with Power Optimization,1,0,0,0
On Convergence Rate of a Continuous-Time Distributed Self-Appraisal Model with Time-Varying Relative Interaction Matrices,0,0,1,0
Synchronous Observation on the Spontaneous Transformation of Liquid Metal under Free Falling Microgravity Situation,0,1,0,0
Continuously tempered Hamiltonian Monte Carlo,0,0,0,1
Automated Synthesis of Safe Digital Controllers for Sampled-Data Stochastic Nonlinear Systems,1,0,0,0
High Dimensional Estimation and Multi-Factor Models,0,0,0,1
Scaling Law for Three-body Collisions in Identical Fermions with $p$-wave Interactions,0,1,0,0
An attentive neural architecture for joint segmentation and parsing and its application to real estate ads,1,0,0,0
Auto-Meta: Automated Gradient Based Meta Learner Search,0,0,0,1
Calibration-Free Relaxation-Based Multi-Color Magnetic Particle Imaging,0,1,0,0
Neural Machine Translation,1,0,0,0
On algebraically integrable domains in Euclidean spaces,0,0,1,0
Cross-layer optimized routing with low duty cycle TDMA across multiple wireless body area networks,1,0,0,0
A Team-Formation Algorithm for Faultline Minimization,1,0,0,0
A Survey of Model Compression and Acceleration for Deep Neural Networks,1,0,0,0
Non-Parametric Calibration of Probabilistic Regression,0,0,0,1
Cyclotron resonant scattering feature simulations. II. Description of the CRSF simulation process,0,1,0,0
New quantum mds constacylıc codes,1,0,0,0
Infinitary first-order categorical logic,0,0,1,0
Gini estimation under infinite variance,0,0,0,1
Training Neural Networks Using Features Replay,0,0,0,1
The anti-spherical category,0,0,1,0
Trajectories and orbital angular momentum of necklace beams in nonlinear colloidal suspensions,0,1,0,0
Unified Treatment of Spin Torques using a Coupled Magnetisation Dynamics and Three-Dimensional Spin Current Solver,0,1,0,0
Rheology of High-Capillary Number Flow in Porous Media,0,1,0,0
Quantum Charge Pumps with Topological Phases in Creutz Ladder,0,1,0,0
Fermi acceleration of electrons inside foreshock transient cores,0,1,0,0
Quantum Speed Limit is Not Quantum,0,1,0,0
Adaptive Diffusion Processes of Time-Varying Local Information on Networks,1,0,0,0
Spectral analysis of jet turbulence,0,1,0,0
La notion d'involution dans le Brouillon Project de Girard Desargues,0,0,1,0
Lie $\infty$-algebroids and singular foliations,0,0,1,0
Distinct evolutions of Weyl fermion quasiparticles and Fermi arcs with bulk band topology in Weyl semimetals,0,1,0,0
Assessing inter-modal and inter-regional dependencies in prodromal Alzheimer's disease using multimodal MRI/PET and Gaussian graphical models,0,0,0,1
On the economics of knowledge creation and sharing,1,0,0,0
Seismic fragility curves for structures using non-parametric representations,0,0,0,1
Metastable Markov chains: from the convergence of the trace to the convergence of the finite-dimensional distributions,0,0,1,0
Construction of embedded periodic surfaces in $\mathbb{R}^n$,0,0,1,0
A System of Three Super Earths Transiting the Late K-Dwarf GJ 9827 at Thirty Parsecs,0,1,0,0
Human perception in computer vision,1,0,0,0
Analyses and estimation of certain design parameters of micro-grooved heat pipes,0,1,0,0
Deep Multimodal Image-Repurposing Detection,1,0,0,0
Frank-Wolfe with Subsampling Oracle,0,0,0,1
A mean value formula and a Liouville theorem for the complex Monge-Ampère equation,0,0,1,0
Bayesian Image Quality Transfer with CNNs: Exploring Uncertainty in dMRI Super-Resolution,1,0,0,0
Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator,0,1,0,0
Long-Term Load Forecasting Considering Volatility Using Multiplicative Error Model,0,0,0,1
Geometrically stopped Markovian random growth processes and Pareto tails,0,0,1,0
Graph Clustering using Effective Resistance,1,0,0,0
Self-supervised learning: When is fusion of the primary and secondary sensor cue useful?,1,0,0,0
Playing Atari with Six Neurons,0,0,0,1
A Systematic Approach for Exploring Tradeoffs in Predictive HVAC Control Systems for Buildings,1,0,0,0
On types of degenerate critical points of real polynomial functions,0,0,1,0
Tropical recurrent sequences,1,0,0,0
Incarnation of Majorana Fermions in Kitaev Quantum Spin Lattice,0,1,0,0
Haro 11: Where is the Lyman continuum source?,0,1,0,0
Typed Closure Conversion for the Calculus of Constructions,1,0,0,0
Radially distributed values and normal families,0,0,1,0
Characterizing Exoplanet Habitability,0,1,0,0
Deep Learning for Classification Tasks on Geospatial Vector Polygons,0,0,0,1
Combining learned and analytical models for predicting action effects,1,0,0,0
Leavitt path algebras: Graded direct-finiteness and graded $Σ$-injective simple modules,0,0,1,0
Social media mining for identification and exploration of health-related information from pregnant women,1,0,0,0
The vortex method for 2D ideal flows in the exterior of a disk,0,0,1,0
Neeman's characterization of K(R-Proj) via Bousfield localization,0,0,1,0
Qualification Conditions in Semi-algebraic Programming,0,0,1,0
Curvature in Hamiltonian Mechanics And The Einstein-Maxwell-Dilaton Action,0,0,1,0
End-to-End Navigation in Unknown Environments using Neural Networks,1,0,0,0
A Combinatorial Approach to the Opposite Bi-Free Partial $S$-Transform,0,0,1,0
Roche-lobe overflow in eccentric planet-star systems,0,1,0,0
A short-orbit spectrometer for low-energy pion detection in electroproduction experiments at MAMI,0,1,0,0
Deep Learning Scooping Motion using Bilateral Teleoperations,1,0,0,0
Making Sense of Physics through Stories: High School Students Narratives about Electric Charges and Interactions,0,1,0,0
Preventing Hospital Acquired Infections Through a Workflow-Based Cyber-Physical System,1,0,0,0
On orbifold constructions associated with the Leech lattice vertex operator algebra,0,0,1,0
From mindless mathematics to thinking meat?,0,1,0,0
Phase correction for ALMA - Investigating water vapour radiometer scaling:The long-baseline science verification data case study,0,1,0,0
On the $μ$-ordinary locus of a Shimura variety,0,0,1,0
When the Universe Expands Too Fast: Relentless Dark Matter,0,1,0,0
Polygons with prescribed edge slopes: configuration space and extremal points of perimeter,0,0,1,0
An Asymptotically Efficient Metropolis-Hastings Sampler for Bayesian Inference in Large-Scale Educational Measuremen,0,0,0,1
"L lines, C points and Chern numbers: understanding band structure topology using polarization fields",0,1,0,0
Willis Theory via Graphs,0,0,1,0
The Effect of Site-Specific Spectral Densities on the High-Dimensional Exciton-Vibrational Dynamics in the FMO Complex,0,1,0,0
Space dependent adhesion forces mediated by transient elastic linkages : new convergence and global existence results,0,0,1,0
Gravitational wave production from preheating: parameter dependence,0,1,0,0
IP determination and 1+1 REMPI spectrum of SiO at 210-220 nm with implications for SiO$^{+}$ ion trap loading,0,1,0,0
Adaptive Model Predictive Control for High-Accuracy Trajectory Tracking in Changing Conditions,1,0,0,0
An enhanced method to compute the similarity between concepts of ontology,1,0,0,0
Eigenvalues of symmetric tridiagonal interval matrices revisited,1,0,0,0
PRE-render Content Using Tiles (PRECUT). 1. Large-Scale Compound-Target Relationship Analyses,1,0,0,0
The list chromatic number of graphs with small clique number,0,0,1,0
Topology of Large-Scale Structures of Galaxies in Two Dimensions - Systematic Effects,0,1,0,0
Wiki-index of authors popularity,1,0,0,0
Belyi map for the sporadic group J1,0,0,1,0
"Convolution Semigroups of Probability Measures on Gelfand Pairs, Revisited",0,0,1,0
Toward Optimal Coupon Allocation in Social Networks: An Approximate Submodular Optimization Approach,1,0,0,0
Lefschetz duality for intersection (co)homology,0,0,1,0
Empirical determination of the optimum attack for fragmentation of modular networks,1,0,0,0
Attitude Control of a 2U Cubesat by Magnetic and Air Drag Torques,0,0,1,0
Temporal correlation detection using computational phase-change memory,1,0,0,0
Complexity and capacity bounds for quantum channels,0,0,1,0
Quantum Interference of Glory Rescattering in Strong-Field Atomic Ionization,0,1,0,0
On vector measures and extensions of transfunctions,0,0,1,0
Deep Within-Class Covariance Analysis for Robust Audio Representation Learning,1,0,0,0
Efficient Online Bandit Multiclass Learning with $\tilde{O}(\sqrt{T})$ Regret,0,0,0,1
Towards exascale real-time RFI mitigation,0,1,0,0
Learning body-affordances to simplify action spaces,1,0,0,0
Cayley properties of the line graphs induced by of consecutive layers of the hypercube,0,0,1,0
Class-Splitting Generative Adversarial Networks,0,0,0,1
Dynamical system analysis of dark energy models in scalar coupled metric-torsion theories,0,1,0,0
J-MOD$^{2}$: Joint Monocular Obstacle Detection and Depth Estimation,1,0,0,0
The Calabi flow with rough initial data,0,0,1,0
Star Formation Activity in the molecular cloud G35.20$-$0.74: onset of cloud-cloud collision,0,1,0,0
Oblivious Routing via Random Walks,1,0,0,0
On Functional Graphs of Quadratic Polynomials,0,0,1,0
Helmholtz decomposition theorem and Blumenthal's extension by regularization,0,1,0,0
A homotopy decomposition of the fibre of the squaring map on $Ω^3S^{17}$,0,0,1,0
Spaces of orders of some one-relator groups,0,0,1,0
Stellar streams as gravitational experiments I. The case of Sagittarius,0,1,0,0
Tuning quantum non-local effects in graphene plasmonics,0,1,0,0
Flows along arch filaments observed in the GRIS 'very fast spectroscopic mode',0,1,0,0
Rethinking Information Sharing for Actionable Threat Intelligence,1,0,0,0
More new classes of permutation trinomials over $\mathbb{F}_{2^n}$,0,0,1,0
Distributive Aronszajn trees,0,0,1,0
Analytical solutions for the radial Scarf II potential,0,1,0,0
Gated Multimodal Units for Information Fusion,0,0,0,1
Why Condorcet Consistency is Essential,0,0,0,1
Birefringence induced by pp-wave modes in an electromagnetically active dynamic aether,0,1,0,0
Robot human interface for housekepeer with wireless capabilities,1,0,0,0
Multi-Task Domain Adaptation for Deep Learning of Instance Grasping from Simulation,1,0,0,0
Bounded Depth Ascending HNN Extensions and $π_1$-Semistability at $\infty$,0,0,1,0
AirSim: High-Fidelity Visual and Physical Simulation for Autonomous Vehicles,1,0,0,0
Hausdorff dimensions in $p$-adic analytic groups,0,0,1,0
Real-time brain machine interaction via social robot gesture control,1,0,0,0
City-Scale Road Audit System using Deep Learning,1,0,0,0
Mass and moment of inertia govern the transition in the dynamics and wakes of freely rising and falling cylinders,0,1,0,0
It Takes Two to Tango: Towards Theory of AI's Mind,1,0,0,0
"On variation of dynamical canonical heights, and Intersection numbers",0,0,1,0
Enhancing the Spectral Hardening of Cosmic TeV Photons by Mixing with Axionlike Particles in the Magnetized Cosmic Web,0,1,0,0
Forecasting in the light of Big Data,0,1,0,0
Adelic point groups of elliptic curves,0,0,1,0
Fan-type spin structure in uni-axial chiral magnets,0,1,0,0
Rotation of a synchronous viscoelastic shell,0,1,0,0
Experimental Evidence on a Refined Conjecture of the BSD type,0,0,1,0
"From bare interactions, low--energy constants and unitary gas to nuclear density functionals without free parameters: application to neutron matter",0,1,0,0
EgoCap: Egocentric Marker-less Motion Capture with Two Fisheye Cameras (Extended Abstract),1,0,0,0
Diffusion Maps meet Nyström,0,0,0,1
Multiphase Flows of N Immiscible Incompressible Fluids: An Outflow/Open Boundary Condition and Algorithm,0,1,0,0
Deadly dark matter cusps vs faint and extended star clusters: Eridanus II and Andromeda XXV,0,1,0,0
"Mutual Information, Relative Entropy and Estimation Error in Semi-martingale Channels",1,0,0,0
Testing redMaPPer centring probabilities using galaxy clustering and galaxy-galaxy lensing,0,1,0,0
Criterion of positivity for semilinear problems with applications in biology,0,0,1,0
Axiomatic quantum mechanics: Necessity and benefits for the physics studies,0,1,0,0
Shortening binary complexes and commutativity of $K$-theory with infinite products,0,0,1,0
Cost-Effective Seed Selection in Online Social Networks,1,0,0,0
Vibrational Density Matrix Renormalization Group,0,1,0,0
Identification and Off-Policy Learning of Multiple Objectives Using Adaptive Clustering,1,0,0,0
Second-Order Analysis and Numerical Approximation for Bang-Bang Bilinear Control Problems,0,0,1,0
On the letter frequencies and entropy of written Marathi,1,0,0,0
Robust Orchestration of Concurrent Application Workflows in Mobile Device Clouds,1,0,0,0
Anisotropy and multiband superconductivity in Sr2RuO4,0,1,0,0
"Time-Reversal Breaking in QCD$_4$, Walls, and Dualities in 2+1 Dimensions",0,1,0,0
Comparative Investigation of the High Pressure Autoignition of the Butanol Isomers,0,1,0,0
"Single and Multiple Vortex Rings in Three-Dimensional Bose-Einstein Condensates: Existence, Stability and Dynamics",0,1,0,0
Vortex Nucleation Limited Mobility of Free Electron Bubbles in the Gross-Pitaevskii Model of a Superfluid,0,1,0,0
Radio variability and non-thermal components in stars evolving toward planetary nebulae,0,1,0,0
Sequential testing for structural stability in approximate factor models,0,0,0,1
Performance Analysis of Ultra-Dense Networks with Elevated Base Stations,1,0,0,0
Strong-coupling of WSe2 in ultra-compact plasmonic nanocavities at room temperature,0,1,0,0
BiHom-Lie colour algebras structures,0,0,1,0
Bounded gaps between primes in short intervals,0,0,1,0
Handover analysis of the Improved Phantom Cells,1,0,0,0
Bayesian Joint Topic Modelling for Weakly Supervised Object Localisation,1,0,0,0
Constraints on Super-Earths Interiors from Stellar Abundances,0,1,0,0
Software correlator for Radioastron mission,0,1,0,0
On the self-duality of rings of integers in tame and abelian extensions,0,0,1,0
Forecasting Transformative AI: An Expert Survey,1,0,0,0
"Change of grading, injective dimension and dualizing complexes",0,0,1,0
Approximately certifying the restricted isometry property is hard,1,0,0,0
A compact design for velocity-map imaging energetic electrons and ions,0,1,0,0
Thermoelectric Cooperative Effect in Three-Terminal Elastic Transport through a Quantum Dot,0,1,0,0
DeepSaucer: Unified Environment for Verifying Deep Neural Networks,1,0,0,0
Checklists to Support Test Charter Design in Exploratory Testing,1,0,0,0
Fast non-destructive parallel readout of neutral atom registers in optical potentials,0,1,0,0
Binaural Source Localization based on Modulation-Domain Features and Decision Pooling,1,0,0,0
Dynamic Shrinkage Processes,0,0,0,1
A Multiple Source Framework for the Identification of Activities of Daily Living Based on Mobile Device Data,1,0,0,0
A Framework for Relating the Structures and Recovery Statistics in Pressure Time-Series Surveys for Dust Devils,0,1,0,0
"Investigation on different physical aspects such as structural, elastic, mechanical, optical properties and Debye temperature of Fe2ScM (M = P and As) semiconductors: a DFT based first principles study",0,1,0,0
